-111.89904, 40.72575, Chevron, USA-(UT) Salt Lake City, 278 W 2100 S
-114.98347, 36.04168, Chevron, USA-(NV) Henderson, 306 N Boulder Hwy
-114.10924, 36.80474, Chevron, USA-(NV) Mesquite, 70 W Falcon Ridge Pkwy
-111.66694, 40.24473, Chevron, USA-(UT) Provo, 818 N 500 W
-119.80297, 39.53505, Chevron, USA-(NV) Reno, 600 N Wells Ave
-111.83469, 40.62399, Chevron, USA-(UT) Salt Lake City, 7006 S 2000 E
-115.06279, 36.15935, Chevron, USA-(NV) Las Vegas, 11 N Nellis Blvd
-115.28502, 36.02046, Chevron, USA-(NV) Las Vegas, 8594 Blue Diamond Rd
-111.93915, 40.58808, Chevron, USA-(UT) West Jordan, 8980 Redwood Rd
-114.95696, 36.07246, Chevron, USA-(NV) Henderson, 1395 E Lake Mead Dr
-119.82685, 39.52657, Chevron, USA-(NV) Reno, 900 W 4th St
-115.23446, 36.15944, Chevron, USA-(NV) Las Vegas, 6380 W Charleston Blvd
-115.04803, 36.02683, Chevron, USA-(NV) Henderson, 1420 Paeso Verde
-115.18346, 36.10039, Chevron, USA-(NV) Las Vegas, 3201 W Tropicana Ave
-119.76727, 39.17063, Chevron, USA-(NV) Carson City, 1102 N Carson St
-115.22452, 36.12522, Chevron, USA-(NV) Las Vegas, 6075 W Spring Mountain Rd
-115.13739, 36.10130, Chevron, USA-(NV) Las Vegas, 1196 E Tropicana Ave
-119.77619, 39.09152, Chevron, USA-(NV) Carson City, 915 Mica Dr
-115.10138, 36.11491, Chevron, USA-(NV) Las Vegas, 3375 E Flamingo Rd
-115.11757, 36.26327, Chevron, USA-(NV) Las Vegas, 5685 Losee Rd
-112.65262, 38.24959, Chevron, USA-(UT) Beaver, Littlefield Interchange
-119.88531, 39.51781, Chevron, USA-(NV) Reno, 910 Robb Dr
-111.81871, 39.13699, Chevron, USA-(UT) Centerfield, 540 N Main St
-111.83946, 40.66530, Chevron, USA-(UT) Holladay, 4820 S Highland Dr
-115.13384, 35.99401, Chevron, USA-(NV) Henderson, 3366 St. Rose Pkwy
-115.95806, 36.13212, Chevron, USA-(NV) Pahrump, 5870 Homestead Rd
-111.65651, 40.25556, Chevron, USA-(UT) Provo, 1645 N Canyon Rd
-111.90423, 40.67486, Chevron, USA-(UT) Murray, 454 W 4500 S
-111.88783, 40.75010, Chevron, USA-(UT) Salt Lake City, 875 S State St
-112.82782, 37.83924, Chevron, USA-(UT) Parowan, 200 S Main St
-111.85278, 40.58078, Chevron, USA-(UT) Sandy, 9387 S 1300 E
-114.58943, 35.05146, Chevron, USA-(NV) Bullhead City, 3713 Hwy 95
-114.67190, 41.98674, Chevron, USA-(NV) Jackpot, 1104 Hwy 93
-115.22520, 36.05593, Chevron, USA-(NV) Las Vegas, 7325 S Jones Blvd
-112.02769, 41.48704, Chevron, USA-(UT) Brigham City, 1095 S 500 W
-112.32368, 38.98932, Chevron, USA-(UT) Fillmore, 1025 N Main St
-112.07104, 38.77209, Chevron, USA-(UT) Richfield, 750 E 300 N
-115.24397, 36.17352, Chevron, USA-(NV) Las Vegas, 100 S Rainbow Blvd
-111.61033, 40.16146, Chevron, USA-(UT) Springville, 395 S Main St
-111.59824, 40.13942, Chevron, USA-(UT) Mapleton, 1042 N 1600 W
-111.73265, 40.35209, Chevron, USA-(UT) Lindon, 795 N State St
-115.24161, 36.19634, Chevron, USA-(NV) Las Vegas, 2000 N Rainbow Blvd
-111.79573, 40.68460, Chevron, USA-(UT) Salt Lake City, 4013 S Wasatch Blvd
-115.22489, 36.14387, Chevron, USA-(NV) Las Vegas, 6065 W Sahara Ave
-115.24394, 36.02201, Chevron, USA-(NV) Las Vegas, 6915 Blue Diamond Rd
-115.23991, 36.21828, Chevron, USA-(NV) Las Vegas, 6650 W Cheyenne Ave
-112.51278, 37.48900, Chevron, USA-(UT) Alton, Jct Hwy 14 & 89
-111.89439, 40.72579, Chevron, USA-(UT) Salt Lake City, 108 W 2100 S
-111.96774, 40.65278, Chevron, USA-(UT) Taylorsville, 3215 W 5400 S
-119.99950, 39.50229, Chevron, USA-(NV) Verdi, 320 Gold Ranch Rd
-111.43987, 39.63413, Chevron, USA-(UT) Fairview, 334 N State St
-111.67475, 40.25966, Chevron, USA-(UT) Provo, 1870 N State St
-115.28737, 36.27697, Chevron, USA-(NV) Las Vegas, 6390 N Durango Dr
-111.93921, 40.62371, Chevron, USA-(UT) West Jordan, 7020 Redwood Rd
-115.13734, 36.11494, Chevron, USA-(NV) Las Vegas, 4090 S Maryland Pkwy
-112.29871, 40.54236, Chevron, USA-(UT) Tooele, 591 N Main St
-117.24742, 38.07739, Chevron, USA-(NV) Tonopah, 1206 Hwy 95
-114.99231, 36.01196, Chevron, USA-(NV) Henderson, 26 W Horizon Ridge Pkwy
-111.81113, 40.71995, Chevron, USA-(UT) Salt Lake City, 2362 Foothill Dr
-115.32937, 36.22034, Chevron, USA-(NV) Las Vegas, 3320 Novat St
-114.07565, 40.73581, Chevron, USA-(NV) Wendover, 1711 Butte St
-111.83171, 40.59364, Chevron, USA-(UT) Sandy, 8655 S 2000 E
-111.65941, 40.21743, Chevron, USA-(UT) Provo, 1218 S University Ave
-115.25164, 36.19567, Chevron, USA-(NV) Las Vegas, 7301 W Lake Mead Blvd
-115.28143, 36.19966, Chevron, USA-(NV) Las Vegas, 8590 W Lake Mead Blvd
-112.00038, 40.63830, Chevron, USA-(UT) Salt Lake City, 4607 W 6200 S
-111.82491, 40.68735, Chevron, USA-(UT) Salt Lake City, 3890 S 2300 E
-115.26091, 36.19673, Chevron, USA-(NV) Las Vegas, 2021 N Buffalo Dr
-111.92028, 40.56004, Chevron, USA-(UT) South Jordan, 1033 W South Jordan Pkwy
-115.25121, 36.23339, Chevron, USA-(NV) Las Vegas, 4004 N Tenaya Way
-117.74070, 40.96859, Chevron, USA-(NV) Winnemucca, 685 W Winnemucca Blvd
-111.88869, 40.92110, Chevron, USA-(UT) Centerville, 382 N Frontage Rd
-119.75060, 39.16105, Chevron, USA-(NV) Carson City, 1615 E 5th St
-115.20695, 36.01390, Chevron, USA-(NV) Las Vegas, 4850 W Silverado Ranch Blvd
-111.99721, 40.60692, Chevron, USA-(UT) West Jordan, 4464 New Bingham Hwy
