-82.57994, 27.99457, Denny's, USA-United States
-97.16390, 34.18748, Denny's, USA-United States
-118.12502, 33.80799, Denny's, USA-United States
-83.54983, 35.78119, Denny's, USA-United States
-122.21232, 39.52327, Denny's, USA-United States
-104.43567, 36.88512, Denny's, USA-United States
-92.39410, 34.75214, Denny's, USA-United States
-122.43421, 47.15925, Denny's, USA-United States
-122.51311, 37.92474, Denny's, USA-United States
-81.89634, 28.84284, Denny's, USA-United States
-112.46610, 42.91138, Denny's, USA-United States
-83.13303, 41.36395, Denny's, USA-United States
-81.89742, 39.96517, Denny's, USA-United States
-95.84065, 34.83138, Denny's, USA-United States
-70.93612, 42.54891, Denny's, USA-United States
-122.40472, 37.78433, Denny's, USA-United States
-111.96958, 33.37845, Denny's, USA-United States
-88.00922, 43.17759, Denny's, USA-United States
-117.99252, 33.77439, Denny's, USA-United States
-82.73369, 28.22380, Denny's, USA-United States
-74.38633, 41.45587, Denny's, USA-United States
-71.49506, 42.76664, Denny's, USA-United States
-95.57589, 29.78246, Denny's, USA-United States
-96.83963, 32.80764, Denny's, USA-United States
-95.52814, 29.69032, Denny's, USA-United States
-81.31059, 28.53758, Denny's, USA-United States
-101.85509, 33.59000, Denny's, USA-United States
-122.25637, 38.13616, Denny's, USA-United States
-71.50021, 41.68273, Denny's, USA-United States
-119.62896, 36.57437, Denny's, USA-United States
-102.11235, 31.97992, Denny's, USA-United States
-81.64855, 41.39554, Denny's, USA-United States
-81.57321, 30.22013, Denny's, USA-United States
-118.37555, 33.91660, Denny's, USA-United States
-124.15304, 40.57765, Denny's, USA-United States
-122.27377, 38.28062, Denny's, USA-United States
-97.69348, 30.21704, Denny's, USA-United States
-121.26660, 38.74345, Denny's, USA-United States
-82.50365, 28.06249, Denny's, USA-United States
-118.47085, 34.22125, Denny's, USA-United States
-119.78364, 39.50575, Denny's, USA-United States
-110.13678, 34.93265, Denny's, USA-United States
-86.89386, 41.66711, Denny's, USA-United States
-97.97248, 35.50549, Denny's, USA-United States
-75.21819, 43.10991, Denny's, USA-United States
-80.09414, 36.10904, Denny's, USA-United States
-117.39834, 34.10657, Denny's, USA-United States
-117.79820, 34.04091, Denny's, USA-United States
-121.91948, 37.37446, Denny's, USA-United States
-95.81798, 29.53222, Denny's, USA-United States
-115.12613, 36.21881, Denny's, USA-United States
-83.74681, 31.95923, Denny's, USA-United States
-82.44859, 35.33235, Denny's, USA-United States
-77.37807, 39.40407, Denny's, USA-United States
-96.33410, 30.62724, Denny's, USA-United States
-117.29026, 34.55985, Denny's, USA-United States
-156.45378, 20.88707, Denny's, USA-United States
-95.16224, 36.18963, Denny's, USA-United States
-81.05779, 29.19648, Denny's, USA-United States
-98.62597, 29.46396, Denny's, USA-United States
-119.65005, 35.61222, Denny's, USA-United States
-109.56042, 31.34132, Denny's, USA-United States
-116.38038, 33.72155, Denny's, USA-United States
-115.19787, 36.23931, Denny's, USA-United States
-119.04906, 34.21850, Denny's, USA-United States
-82.20913, 41.41746, Denny's, USA-United States
-122.06532, 38.25683, Denny's, USA-United States
-122.72843, 38.45980, Denny's, USA-United States
-87.84860, 41.54343, Denny's, USA-United States
-95.90438, 36.16158, Denny's, USA-United States
-78.98332, 42.63721, Denny's, USA-United States
-122.36200, 40.57118, Denny's, USA-United States
-78.43460, 36.33250, Denny's, USA-United States
-122.23601, 47.88181, Denny's, USA-United States
-120.62176, 35.13544, Denny's, USA-United States
-80.12015, 26.31793, Denny's, USA-United States
-76.18176, 36.88461, Denny's, USA-United States
-81.47097, 28.45270, Denny's, USA-United States
-111.80491, 33.41536, Denny's, USA-United States
-77.30645, 38.85841, Denny's, USA-United States
-109.08917, 35.65553, Denny's, USA-United States
-81.21204, 29.55572, Denny's, USA-United States
-90.15312, 38.35890, Denny's, USA-United States
-82.14036, 29.18625, Denny's, USA-United States
-115.17215, 36.05838, Denny's, USA-United States
-80.09920, 26.26453, Denny's, USA-United States
-85.98811, 39.77520, Denny's, USA-United States
-85.53205, 42.26258, Denny's, USA-United States
-87.49246, 37.97916, Denny's, USA-United States
-104.80379, 38.94915, Denny's, USA-United States
-121.29580, 37.93708, Denny's, USA-United States
-110.93156, 31.34420, Denny's, USA-United States
-74.14447, 40.01949, Denny's, USA-United States
-119.31358, 36.30919, Denny's, USA-United States
-83.18941, 42.17118, Denny's, USA-United States
-121.87415, 37.31681, Denny's, USA-United States
-112.15193, 33.53830, Denny's, USA-United States
-74.90521, 40.16351, Denny's, USA-United States
-110.02327, 34.20920, Denny's, USA-United States
-122.46336, 47.17877, Denny's, USA-United States
-81.74177, 28.54303, Denny's, USA-United States
-118.04510, 34.55479, Denny's, USA-United States
-75.62164, 43.03782, Denny's, USA-United States
-72.97427, 41.27090, Denny's, USA-United States
-107.82697, 35.12508, Denny's, USA-United States
-80.29131, 25.80775, Denny's, USA-United States
-89.67221, 39.17540, Denny's, USA-United States
-120.36646, 37.97579, Denny's, USA-United States
-116.35522, 43.61929, Denny's, USA-United States
-117.74371, 33.87240, Denny's, USA-United States
-121.57900, 38.57229, Denny's, USA-United States
-75.43044, 40.64133, Denny's, USA-United States
-108.56645, 45.75426, Denny's, USA-United States
-80.16413, 25.88760, Denny's, USA-United States
-80.84784, 28.55351, Denny's, USA-United States
-117.22041, 32.75483, Denny's, USA-United States
-93.35665, 45.20762, Denny's, USA-United States
-117.95834, 34.10352, Denny's, USA-United States
-86.98866, 38.17645, Denny's, USA-United States
-95.29231, 29.94949, Denny's, USA-United States
-118.26407, 33.84530, Denny's, USA-United States
-118.29183, 34.06236, Denny's, USA-United States
-95.37627, 29.72156, Denny's, USA-United States
-84.20671, 33.90918, Denny's, USA-United States
-111.97368, 41.07451, Denny's, USA-United States
-89.79262, 43.60228, Denny's, USA-United States
-94.18830, 36.33529, Denny's, USA-United States
-84.94329, 32.48046, Denny's, USA-United States
-80.31157, 26.14573, Denny's, USA-United States
-76.86078, 40.79264, Denny's, USA-United States
-95.54542, 29.95542, Denny's, USA-United States
-120.32505, 47.44154, Denny's, USA-United States
-94.43881, 39.04457, Denny's, USA-United States
-118.08159, 33.91652, Denny's, USA-United States
-112.30000, 33.60540, Denny's, USA-United States
-104.52322, 33.41877, Denny's, USA-United States
-106.39692, 31.78938, Denny's, USA-United States
-80.66716, 41.02450, Denny's, USA-United States
-84.96433, 42.29110, Denny's, USA-United States
-96.89113, 32.66162, Denny's, USA-United States
-75.30468, 39.86708, Denny's, USA-United States
-112.05111, 43.50282, Denny's, USA-United States
-111.96979, 41.24347, Denny's, USA-United States
-88.02139, 42.13898, Denny's, USA-United States
-80.86756, 40.07535, Denny's, USA-United States
-121.38296, 38.64696, Denny's, USA-United States
-81.32756, 31.93068, Denny's, USA-United States
-99.14501, 30.04304, Denny's, USA-United States
-87.90990, 42.95514, Denny's, USA-United States
-117.66978, 35.62279, Denny's, USA-United States
-122.34671, 47.77794, Denny's, USA-United States
-95.63274, 30.08955, Denny's, USA-United States
-122.21461, 37.48697, Denny's, USA-United States
-82.73402, 28.01259, Denny's, USA-United States
-122.21695, 47.79080, Denny's, USA-United States
-98.00642, 26.17313, Denny's, USA-United States
-118.60672, 34.17209, Denny's, USA-United States
-122.99698, 44.91989, Denny's, USA-United States
-122.32893, 47.57907, Denny's, USA-United States
-121.91344, 37.42637, Denny's, USA-United States
-89.92641, 38.58840, Denny's, USA-United States
-122.30652, 47.31525, Denny's, USA-United States
-82.10438, 34.91123, Denny's, USA-United States
-80.11209, 26.35119, Denny's, USA-United States
-120.68634, 35.64195, Denny's, USA-United States
-82.37586, 27.71212, Denny's, USA-United States
-117.07558, 33.02759, Denny's, USA-United States
-96.89644, 32.88127, Denny's, USA-United States
-95.56409, 29.56547, Denny's, USA-United States
-119.78918, 36.83769, Denny's, USA-United States
