-97.74721, 30.41840, Joe's Crab Shack, USA-United States
-89.79783, 35.19316, Joe's Crab Shack, USA-United States
-95.41935, 29.67725, Joe's Crab Shack, USA-United States
-95.53815, 29.95286, Joe's Crab Shack, USA-United States
-86.14371, 39.65961, Joe's Crab Shack, USA-United States
-84.28561, 34.04685, Joe's Crab Shack, USA-United States
-115.30608, 36.11498, Joe's Crab Shack, USA-United States
-98.47969, 29.49336, Joe's Crab Shack, USA-United States
-95.26618, 30.00778, Joe's Crab Shack, USA-United States
-93.73570, 32.52090, Joe's Crab Shack, USA-United States
-84.12433, 33.94415, Joe's Crab Shack, USA-United States
-97.74227, 30.25253, Joe's Crab Shack, USA-United States
-77.38422, 38.86302, Joe's Crab Shack, USA-United States
-90.60189, 38.66836, Joe's Crab Shack, USA-United States
-81.38904, 30.28849, Joe's Crab Shack, USA-United States
-95.49055, 29.73192, Joe's Crab Shack, USA-United States
-96.97872, 33.01310, Joe's Crab Shack, USA-United States
-87.94230, 42.37834, Joe's Crab Shack, USA-United States
-101.93956, 35.18749, Joe's Crab Shack, USA-United States
-115.08132, 36.07099, Joe's Crab Shack, USA-United States
-96.70240, 33.04050, Joe's Crab Shack, USA-United States
-97.40942, 32.68231, Joe's Crab Shack, USA-United States
-93.80948, 41.56709, Joe's Crab Shack, USA-United States
-94.34419, 39.04103, Joe's Crab Shack, USA-United States
-83.76243, 42.24153, Joe's Crab Shack, USA-United States
-78.88295, 33.71395, Joe's Crab Shack, USA-United States
-96.93473, 32.60154, Joe's Crab Shack, USA-United States
-104.82601, 39.67923, Joe's Crab Shack, USA-United States
-80.16131, 40.45471, Joe's Crab Shack, USA-United States
-111.91283, 33.39303, Joe's Crab Shack, USA-United States
-117.15734, 32.77080, Joe's Crab Shack, USA-United States
-94.76717, 38.91083, Joe's Crab Shack, USA-United States
-95.42410, 29.98700, Joe's Crab Shack, USA-United States
-95.21821, 29.61751, Joe's Crab Shack, USA-United States
-97.31630, 32.86094, Joe's Crab Shack, USA-United States
-97.62001, 35.54983, Joe's Crab Shack, USA-United States
-97.54563, 35.39108, Joe's Crab Shack, USA-United States
-118.10835, 33.75313, Joe's Crab Shack, USA-United States
-95.38604, 29.55318, Joe's Crab Shack, USA-United States
-97.38805, 27.79459, Joe's Crab Shack, USA-United States
-111.89090, 40.58053, Joe's Crab Shack, USA-United States
-97.07884, 32.92191, Joe's Crab Shack, USA-United States
-86.69063, 33.41792, Joe's Crab Shack, USA-United States
-98.57938, 29.48975, Joe's Crab Shack, USA-United States
-84.73673, 33.72747, Joe's Crab Shack, USA-United States
-86.09831, 39.90586, Joe's Crab Shack, USA-United States
-105.05142, 39.86030, Joe's Crab Shack, USA-United States
-95.64457, 29.74398, Joe's Crab Shack, USA-United States
-104.77206, 39.55237, Joe's Crab Shack, USA-United States
-84.48473, 33.89997, Joe's Crab Shack, USA-United States
-86.77491, 36.16137, Joe's Crab Shack, USA-United States
-80.25161, 26.17930, Joe's Crab Shack, USA-United States
-94.80072, 29.28161, Joe's Crab Shack, USA-United States
-117.53600, 34.10620, Joe's Crab Shack, USA-United States
-93.21393, 36.64051, Joe's Crab Shack, USA-United States
-81.78785, 26.14102, Joe's Crab Shack, USA-United States
-118.39518, 33.84490, Joe's Crab Shack, USA-United States
-76.29151, 36.84488, Joe's Crab Shack, USA-United States
-86.01355, 39.80158, Joe's Crab Shack, USA-United States
-87.30234, 41.47202, Joe's Crab Shack, USA-United States
-84.07936, 33.83467, Joe's Crab Shack, USA-United States
-117.93117, 33.99556, Joe's Crab Shack, USA-United States
-98.48960, 29.42581, Joe's Crab Shack, USA-United States
-78.74253, 33.79772, Joe's Crab Shack, USA-United States
-77.20337, 39.11618, Joe's Crab Shack, USA-United States
-94.79070, 29.31010, Joe's Crab Shack, USA-United States
-101.93536, 33.54276, Joe's Crab Shack, USA-United States
-111.97927, 40.61839, Joe's Crab Shack, USA-United States
-78.95102, 35.06896, Joe's Crab Shack, USA-United States
-119.28278, 34.27473, Joe's Crab Shack, USA-United States
-117.25575, 32.79363, Joe's Crab Shack, USA-United States
-81.87462, 26.64146, Joe's Crab Shack, USA-United States
-88.02315, 41.83345, Joe's Crab Shack, USA-United States
-97.67528, 30.48659, Joe's Crab Shack, USA-United States
-117.38973, 33.20437, Joe's Crab Shack, USA-United States
-83.09003, 40.09628, Joe's Crab Shack, USA-United States
-95.67406, 29.56529, Joe's Crab Shack, USA-United States
-85.74499, 38.25920, Joe's Crab Shack, USA-United States
-89.58760, 40.68977, Joe's Crab Shack, USA-United States
-96.62609, 32.78376, Joe's Crab Shack, USA-United States
-117.91502, 33.78858, Joe's Crab Shack, USA-United States
-81.50645, 28.38953, Joe's Crab Shack, USA-United States
-81.33415, 28.81126, Joe's Crab Shack, USA-United States
-83.02883, 42.54258, Joe's Crab Shack, USA-United States
-96.89542, 32.86135, Joe's Crab Shack, USA-United States
-111.96480, 33.37844, Joe's Crab Shack, USA-United States
-75.56178, 39.73373, Joe's Crab Shack, USA-United States
-89.98751, 38.60132, Joe's Crab Shack, USA-United States
-115.24203, 36.19562, Joe's Crab Shack, USA-United States
-82.72465, 27.96063, Joe's Crab Shack, USA-United States
-95.49437, 29.84307, Joe's Crab Shack, USA-United States
-117.16022, 32.70661, Joe's Crab Shack, USA-United States
-97.38208, 27.71327, Joe's Crab Shack, USA-United States
-97.08865, 32.75820, Joe's Crab Shack, USA-United States
-74.69167, 40.28725, Joe's Crab Shack, USA-United States
-98.21684, 26.18824, Joe's Crab Shack, USA-United States
-76.39386, 37.03542, Joe's Crab Shack, USA-United States
-110.85776, 32.22651, Joe's Crab Shack, USA-United States
-122.41653, 37.80807, Joe's Crab Shack, USA-United States
-86.45721, 30.38720, Joe's Crab Shack, USA-United States
