-79.46774, 39.90657, Fallingwater, TBD
-73.92533, 41.69805, Boughton/Haight House, TBD
-74.30979, 41.26386, Mount Tremper Fire Observation Station, TBD
-75.09273, 40.23588, Moland House, TBD
-71.80748, 42.26547, Davis, Isaac, House, TBD
-76.50368, 43.45472, Edwards, John B. and Lydia, House, TBD
-70.48903, 43.40756, Maine Trolley Cars, TBD
-73.93856, 41.54081, Stony Kill Farm, TBD
-74.00249, 40.73982, New York Savings Bank, TBD
-74.21502, 40.09418, Strand Theatre, TBD
-69.72328, 44.10646, St. John&&aposs Episcopal Church, TBD
-75.18459, 39.95186, Hajoca Corporation Headquarters and Showroom, TBD
-73.42289, 43.84930, Central School, TBD
-79.02485, 39.81508, New Colonial Hotel, TBD
-75.90999, 41.19040, Ashley Planes, TBD
-74.25941, 40.33960, Old Scots Burying Ground, TBD
-74.27593, 40.25943, St. Peter&&aposs Episcopal Church, TBD
-73.33080, 42.31601, Citizens Hall, TBD
-75.17765, 39.94934, Bishop Mackay-Smith House, TBD
-80.47106, 40.87437, Old Homestead, TBD
-70.27799, 43.64584, Maine Publicity Bureau Building, TBD
-80.23419, 40.17151, East Washington Historic District, TBD
-73.18287, 40.86543, Village of Branch Historic District, TBD
-71.11782, 42.33712, Saint Paul&&aposs Rectory, TBD
-73.11859, 42.62478, Berkshie Mill No. 1, TBD
-73.20433, 42.71052, US Post Office-Williamstown Main, TBD
-72.74588, 41.74867, Gillett, Asa, House, TBD
-79.53171, 40.77170, Ford City Armory, TBD
-78.56041, 41.40064, Decker&&aposs Chapel, TBD
-74.61640, 42.93381, Nelliston Historic District, TBD
-71.15473, 41.70624, Unitarian Society, The, TBD
-72.38936, 43.47458, Robbins and Lawrence Armory and Machine Shop, TBD
-70.54576, 44.54596, Mechanic Institute, TBD
-68.52168, 44.41680, East Blue Hill Post Office, TBD
-71.51682, 42.00001, Woonsocket Rubber Company Mill, TBD
-73.74573, 42.22472, Ludlow, William Henry, House, TBD
-76.45993, 40.90650, Furnace Covered Bridge No. 11, TBD
-71.39557, 41.82511, Aldrich, Nelson W., House, TBD
-72.63398, 41.74030, Brewer, Selden, House, TBD
-71.50747, 42.00134, L&&aposEglise du Precieux Sang, TBD
-76.06027, 40.13431, Weaver, Henry, Farmstead, TBD
-71.80598, 42.24473, McCarron, Andrew, Three-Decker, TBD
-74.73673, 40.56828, Readington Village Historic Village, TBD
-72.67917, 41.76498, Bushnell Park, TBD
-74.06719, 40.72717, Old Bergen Church, TBD
-71.94936, 41.04821, Montauk Manor, TBD
-70.22608, 44.09750, Androscoggin County Courthouse and Jail, TBD
-74.04716, 40.07171, Bay Head Historic District, TBD
-72.28279, 42.93300, Colony House, TBD
-71.11937, 42.65985, Rogers-Downing House, TBD
-73.99472, 40.73441, Salmagundi Club, TBD
-79.69538, 40.06676, Linden Hall at Saint James Park, TBD
-75.16197, 39.95958, Terminal Commerce Building, TBD
-71.15026, 42.41373, Swan, Henry, House, TBD
-75.75841, 43.07810, Canastota Public Library, TBD
-74.08061, 41.40030, Hand, Elias, House, TBD
-73.91935, 41.29248, St. Peter&&aposs Episcopal Church, TBD
-74.21984, 40.68726, Woodruff House, TBD
-71.22854, 42.35269, West Parish Burying Ground, TBD
-73.88455, 40.68118, Public School 108, TBD
-71.42781, 41.90570, Great Road Historic District, TBD
-72.32629, 42.15746, US Post Office-Palmer Main, TBD
-70.24532, 44.69813, Temple Intervale School, TBD
-73.65166, 40.80030, Hicks Lumber Company Store, TBD
-71.51742, 41.52628, Slocum, Joseph, House, TBD
-76.51100, 43.45465, U.S. Customhouse, TBD
-76.13657, 44.06918, Evans-Gaige-Dillenback House, TBD
-70.98164, 41.62933, Tucker Farm Historic District, TBD
-71.11240, 41.76009, Valentine-French House, TBD
-75.06134, 42.45697, Walnut Street Historic District, TBD
-73.42411, 40.81974, Whitman-Place House, TBD
-73.89886, 40.70271, Central Ridgewood Historic District, TBD
-75.19158, 40.04540, Malvern Hall, TBD
-72.65201, 41.54914, Middletown Alms House, TBD
-73.95001, 40.68245, Renaissance Apartments, TBD
-71.12068, 42.38717, DeRosay-McNamee House, TBD
-72.65125, 41.98086, Suffield Historic District, TBD
-72.67794, 41.78635, Capen-Clark Historic District, TBD
-70.95404, 42.57363, Osborne, Prince, House, TBD
-68.20777, 44.38584, St. Edward&&aposs Convent, (Former), TBD
-73.96547, 41.19322, Homestead, TBD
-73.34544, 42.75190, Petersburgh United Methodist Church, TBD
-73.76570, 41.83414, Tousey, Benjamin C., House, TBD
-71.09938, 42.47990, Stoneham Firestation, TBD
-71.46273, 41.41800, Druidsdream, TBD
-71.14329, 42.32570, Heath, Ebenezer, House, TBD
-74.01194, 40.70748, Empire Building, TBD
-70.96780, 42.80691, Morse, Timothy, House, TBD
-72.36148, 41.11655, Brecknock Hall, TBD
-73.07400, 41.39419, Downtown Seymour Historic District, TBD
-73.98223, 40.74872, Church of the Incarnation and Parish House, TBD
-70.05864, 41.95429, Atwood, Thomas, House, TBD
-73.36918, 41.12265, Saugatuck River Bridge, TBD
-71.02741, 42.27474, Building at 1-7 Moscow Street, TBD
-77.85274, 39.83919, Church Hill Farm, TBD
-71.38468, 41.87862, Sayles, Deborah Cook, Public Library, TBD
-71.04675, 42.49821, House at 28 Wiley Street, TBD
-71.41938, 41.80767, Wesleyan Avenue Historic District, TBD
-76.48028, 42.44947, Bailey Hall, TBD
-68.83206, 44.04736, Vinalhaven Galamander, The, TBD
