-81.513604,30.061161,Winn Dixie 0002 - 2220 CR 210 W; Jacksonville,FL 32259>904-823-2171
-83.870384,30.534743,Winn Dixie 0003 - 1245 S Jefferson St; Monticello,FL 32344>850-997-2247
-81.388677,30.227194,Winn Dixie 0005 - 290 Solana Rd; Ponte Vedra Beach,FL 32082>904-543-8668
-81.800418,30.121717,Winn Dixie 0008 - 1339 Blanding Blvd; Orange Park,FL 32065>904-272-1547
-81.633103,30.460542,Winn Dixie 0012 - 12333 Sago Ave; Jacksonville,FL 32218>904-757-8982
-81.410317,30.324264,Winn Dixie 0018 - 1209 Atlantic Blvd; Neptune Beach,FL 32266>904-241-4368
-81.384092,31.172998,Winn Dixie 0019 - 220 Retreat Village; St Simons Island,GA 31522>912-638-4805
-81.513604,30.061161,Winn Dixie 0021 Liquor - 2220 CR 210 W; Jacksonville,FL 32259>904-808-9961
-81.59276,30.221742,Winn Dixie 0025 - 8775 Old Kings Rd S; Jacksonville,FL 32217>904-636-8962
-83.426696,30.472007,Winn Dixie 0028 - 1219 W Base St; Madison,FL 32340>850-973-2690
-82.602249,29.840664,Winn Dixie 0030 - 20303 N US Hwy 441; High Springs,FL 32643>386-454-3067
-82.602525,29.84132,Winn Dixie 0031 Liquor - 1070 NW Santa Fe Blvd; High Springs,FL 32643>386-454-4845
-83.217696,30.682088,Winn Dixie 0032 - 1060 Lakes Blvd; Lake Park,GA 31636>229-559-6409
-81.652503,30.3312,Winn Dixie 0037 - 777 N Market St; Jacksonville,FL 32202>904-353-6810
-81.701348,30.167287,Winn Dixie 0040 - 1900-1 Park Ave; Orange Park,FL 32073>904-278-2691
-81.597167,30.366088,Winn Dixie 0051 - 6060-10 Ft Caroline Rd; Jacksonville,FL 32277>904-743-0251
-84.32853,30.501578,Winn Dixie 0052 - 3813-10 N Monroe St; Tallahassee,FL 32303>850-562-1369
-81.527052,30.346344,Winn Dixie 0054 - 1531 Monument Rd; Jacksonville,FL 32225>904-646-0771
-81.477972,31.159704,Winn Dixie 0060 - 1941 Glynn Ave; Brunswick,GA 31520>912-267-0557
-83.263017,30.910206,Winn Dixie 0065 - 4036 Bemiss Rd;  Valdosta,GA 31605>229-247-2775
-81.50649,31.248149,Winn Dixie 0067 - 341 Venture Dr; Brunswick,GA 31525>912-264-0698
-81.587183,31.141048,Winn Dixie 0068 - 284 Hyde Park Commons; Brunswick,GA 31523>912-267-1759
-81.578663,30.754049,Winn Dixie 0070 - 2714 Osborne Rd; Saint Marys,GA 31558>912-882-6714
-81.325083,29.879425,Winn Dixie 0077 - 1010 S Ponce De Leon Blvd; Saint Augustine,FL 32084>904-829-5509
-81.554728,30.218532,Winn Dixie 0080 - 9866 Baymeadows Rd; Jacksonville,FL 32256>904-642-6509
-82.637073,30.179321,Winn Dixie 0081 - 580 S Marion Ave; Lake City,FL 32025>386-755-4404
-82.63785,30.18244,Winn Dixie 0082 Liquor - 580 S Marion Ave; Lake City,FL 32025>386-755-5907
-81.447432,30.679959,Winn Dixie 0084 - 947 Ameila Plaza; Fernandina Beach,FL 32034>904-277-2539
-82.113472,29.944213,Winn Dixie 0085 - 470 W Madison St; Starke,FL 32091>904-964-8673
-84.261624,30.441572,Winn Dixie 0086 - 111-39 S Magnolia Dr; Tallahassee,FL 32301>850-656-2219
-81.698085,30.379071,Winn Dixie 0089 - 2261 Edgewood Ave W; Jacksonville,FL 32209>904-764-3438
-84.261624,30.441572,Winn Dixie 0090 Liquor - 111-39 S Magnolia Dr; Tallahassee,FL 32301>850-656-7800
-81.877246,30.06087,Winn Dixie 0093 - 2720 Blanding Blvd; Middleburg,FL 32068>904-282-3070
-81.877246,30.06087,Winn Dixie 0094 Liquor - 2720 Blanding Blvd; Middleburg,FL 32068>904-291-2418
-81.711149,30.102125,Winn Dixie 0103 - 1545 CR 220; Fleming Island,FL 32003>904-264-0398
-83.583794,30.098492,Winn Dixie 0104 - 2057 S Byron Butler Pkwy; Perry,FL 32348>850-584-5614
-81.410317,30.324264,Winn Dixie 0106 Liquor - 1209 Atlantic Blvd; Neptune Beach,FL 32266>904-249-1917
-81.604671,30.276077,Winn Dixie 0107 - 5909 University Blvd W; Jacksonville,FL 32216>904-448-6100
-84.283314,30.405345,Winn Dixie 0116 - 110 Paul Russell Rd; Tallahassee,FL 32301>850-656-7020
-81.696882,30.245225,Winn Dixie 0123 - 5647 Roosevelt Blvd; Jacksonville,FL 32244>904-384-0711
-84.312676,30.463394,Winn Dixie 0125 - 1625 W Tharpe St; Tallahassee,FL 32303>850-297-2555
-81.314939,29.88173,Winn Dixie 0129 - 3905 A1A S; Saint Augustine,FL 32080>904-471-5115
-81.314939,29.88173,Winn Dixie 0130 Liquor - 3907 A1A S; Saint Augustine,FL 32080>904-471-5065
-81.809172,30.04658,Winn Dixie 0135 - 2851 Henley Rd; Green Cove Springs,FL 32043>904-899-6900
-81.809172,30.04658,Winn Dixie 0136 Liquor - 2851 Henley Rd; Green Cove Springs,FL 32043>904-899-6902
-81.706152,30.023079,Winn Dixie 0138 - 3260 Hwy 17; Green Cove Springs,FL 32043>904-529-8888
-83.292099,30.875226,Winn Dixie 0140 - 3200 N Ashley St; Valdosta,GA 31602>229-242-0917
-81.632438,30.159721,Winn Dixie 0141 - 11701-10 San Jose Blvd; Jacksonville,FL 32223>904-886-1976
-81.877439,30.65528,Winn Dixie 0142 - 541494 US Hwy 1; Hilliard,FL 32046>904-845-3782
-81.632438,30.159721,Winn Dixie 0143 Liquor - 11701-10 San Jose Blvd; Jacksonville,FL 32223>904-680-1032
-82.123039,30.25621,Winn Dixie 0144 - 1436 S SR 121; MacClenny,FL 32063>904-259-2204
-81.745651,30.174331,Winn Dixie 0145 - 248 Blanding Blvd; Orange Park,FL 32073>904-276-4200
-82.328814,29.636361,Winn Dixie 0150 Liquor - 300 SW 16th Ave; Gainesville,FL 32601>352-379-0023
-81.827065,30.566566,Winn Dixie 0151 - 450078 SR 200; Callahan,FL 32011>904-879-4833
-81.779694,30.293544,Winn Dixie 0153 - 7921 Normandy Blvd; Jacksonville,FL 32221>904-783-6901
-81.676816,29.639388,Winn Dixie 0156 Liquor - 901 S SR 19; Palatka,FL 32177>386-328-3053
-81.525143,31.22379,Winn Dixie 0159 - 5420 New Jesup Hwy; Brunswick,GA 31523>912-264-5429
-82.320451,29.676152,Winn Dixie 0160 - 2500 N Main St; Gainesville,FL 32609>580-482-8189
-81.578816,30.312405,Winn Dixie 0161 - 49 Arlington Rd S; Jacksonville,FL 32216>904-721-3069
-81.676816,29.639388,Winn Dixie 0163 - 901 S SR 19; Palatka,FL 32177>386-328-6239
-81.655247,30.789151,Winn Dixie 0166 - 1390 Boone Ave Ext E; Kingsland,GA 31548>912-729-3621
-81.698157,30.438676,Winn Dixie 0167 - 3000 Dunn Ave; Jacksonville,FL 32218>904-765-4543
-84.565279,30.90407,Winn Dixie 0169 - 915 Shotwell St; Bainbridge,GA 39819>229-246-3454
-82.455952,29.38608,Winn Dixie 0171 - 727 W Noble Ave; Williston,FL 32696>352-528-5551
-83.275157,30.817918,Winn Dixie 0173 - 1105 Madison Hwy; Valdosta,GA 31601>229-242-0127
-81.471388,30.319135,Winn Dixie 0174 - 12777 Atlantic Blvd; Jacksonville,FL 32225>904-221-3062
-81.795984,30.196135,Winn Dixie 0176 - 8560 Argyle Forest Blvd; Jacksonville,FL 32244>904-779-5000
-81.735705,30.271143,Winn Dixie 0177 - 3538 Blanding Blvd; Jacksonville,FL 32210>904-779-5906
-81.526301,30.28669,Winn Dixie 0179 - 11380-8 Beach Blvd; Jacksonville,FL 32216>904-996-0990
-81.544472,30.624179,Winn Dixie 0180 - 96076 Lofton Square Ct; Yulee,FL 32097>904-261-6100
-81.325977,29.925075,Winn Dixie 0182 - 3551 N Ponce De Leon Blvd; Saint Augustine,FL 32084>904-824-6233
-81.737588,30.271522,Winn Dixie 0183 Liquor - 3538-A Blanding Blvd; Jacksonville,FL 32210>904-771-2822
-84.594715,30.587349,Winn Dixie 0184 - 1632 W Jefferson St; Quncy,FL 32351>850-627-1134
-84.371484,30.193016,Winn Dixie 0186 - 2629 Crawfordville Hwy; Crawfordville,FL 32327>850-926-2204
-81.795984,30.196135,Winn Dixie 0187 Liquor - 8560 Argyle Forest Blvd; Jacksonville,FL 32244>904-771-5337
-81.644942,30.260738,Winn Dixie 0190 - 1520 University Blvd W; Jacksonville,FL 32217>904-448-5400
-81.735521,30.309278,Winn Dixie 0191 - 5207 Normandy Blvd; Jacksonville,FL 32205>904-786-5181
-81.684612,30.370368,Winn Dixie 0194 - 5250 Moncrief Rd W; Jacksonville,FL 32209>904-768-8600
-82.111243,28.680177,Winn Dixie 0196 - 1115 N Summit St; Crescent City,FL 32112>386-698-4900
-82.259446,29.077367,Winn Dixie 0196 - 8445 SW Hwy 200; Ocala,FL 34481>352-854-1122
-82.328814,29.636361,Winn Dixie 0197 - 300 SW 16th Ave; Gainesville,FL 32601>352-378-5001
-83.235539,30.250405,Winn Dixie 0198 - 911 Pinewood Dr SW; Live Oak,FL 32064>386-362-6300
-81.84844,30.306198,Winn Dixie 0199 - 703 Chaffee Rd S; Jacksonville,FL 32221>904-693-4853
-80.291846,25.881455,Winn Dixie 0201 - 6500 W 4th Ave; Hialeah,FL 33012>305-558-7618
-80.163795,25.983837,Winn Dixie 0203 - 1055 W Hallandale Beach Blvd; Hallandale ,FL 33009>954-457-7380
-80.15416,26.137746,Winn Dixie 0204 - 1035 NW 9th Ave; Fort Lauderdale,FL 33311>954-763-2184
-80.097911,26.273751,Winn Dixie 0207 - 3435 N Federal Hwy; Pompano Beach,FL 33064>954-781-0226
-80.27852,26.014651,Winn Dixie 0209 - 701 NW 99th Ave; Pembroke Pines,FL 33025>954-435-0182
-80.187942,26.186131,Winn Dixie 0210 - 3116 W Commercial Blvd; Fort Lauderdale,FL 33309>954-739-9607
-80.229402,26.707342,Winn Dixie 0212 - 1135 Royal Palm Beach Blvd; West Palm Beach,FL 33411>561-793-0422
